Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
BadAss 3520-560 ,6.00,560.00,11.00,8.50,22.20,10426.00,42.52,943.80,381.44,6.04,83.90,0.64,2.20
BadAss 3530-890 ,4.00,890.00,12.00,8.00,14.80,11057.00,94.99,1405.90,256.06,8.10,83.80,0.58,2.41
Tempest 4120-830Kv ,4.00,830.00,11.00,8.00,14.80,11059.00,66.81,988.80,364.08,7.58,83.80,0.77,2.32
BadAss 3520-790 ,6.00,790.00,10.00,6.00,22.20,14730.00,56.58,1256.10,286.60,7.10,83.70,0.57,2.20
BadAss 3515-710 ,6.00,710.00,10.00,7.00,22.20,12631.00,46.44,1031.00,349.18,7.59,83.70,0.74,2.11
Cobra C-3525/12 ,6.00,650.00,11.00,8.00,22.20,11052.00,46.26,1027.10,350.50,6.53,83.70,0.64,2.26
Tempest 4120-830Kv ,4.00,830.00,11.00,8.00,14.80,11029.00,67.89,1004.80,358.28,6.38,83.60,0.63,2.32
BadAss 3515-940 ,5.00,940.00,10.00,6.00,18.50,14710.00,44.04,814.70,441.88,6.25,83.60,0.77,2.11
BadAss 3515-940 ,5.00,940.00,9.00,6.00,18.50,14705.00,43.86,811.30,443.73,5.16,83.60,0.64,2.11
BadAss 2814-1120 ,4.00,1120.00,9.00,7.00,14.80,12593.00,53.12,786.20,457.90,5.62,83.50,0.71,1.96
Tempest 4120-600Kv ,6.00,600.00,9.00,7.00,22.20,12600.00,29.84,662.50,543.40,5.28,83.50,0.80,2.32
BadAss 2814-1300 ,4.00,1300.00,9.00,6.00,14.80,14680.00,58.24,862.00,417.63,5.16,83.40,0.60,1.96
BadAss 3515-580Kv ,6.00,580.00,11.00,8.50,22.20,10365.00,40.34,895.60,401.97,6.11,83.40,0.68,2.12
Tempest 4130-690Kv ,5.00,690.00,12.00,8.00,18.50,10990.00,71.54,1323.60,271.99,7.77,83.30,0.59,2.54
Cobra C-4120/14 ,6.00,710.00,11.00,7.00,22.20,12559.00,66.28,1471.40,244.66,8.70,83.30,0.59,2.35
Cobra C-3525/12 ,5.00,650.00,12.00,10.00,18.50,8795.00,49.49,915.60,393.18,5.74,83.30,0.63,2.26
BadAss 4530-440Kv ,6.00,440.00,14.00,10.00,22.20,8785.00,51.02,1132.60,317.85,8.89,83.20,0.78,2.87
BadAss 3530-650Kv ,5.00,570.00,13.00,10.00,18.50,8789.00,43.72,808.70,445.16,7.48,83.20,0.92,2.40
BadAss 2820-780 ,6.00,780.00,9.00,6.00,22.20,14639.00,34.91,774.90,464.58,5.13,83.20,0.66,2.03
Tempest 4120-700Kv ,4.00,700.00,12.00,10.00,14.80,8775.00,56.39,834.50,431.40,5.54,83.10,0.66,2.32
BadAss 3515-710 ,5.00,710.00,12.00,8.50,18.50,10323.00,45.33,838.50,429.34,7.14,83.10,0.85,2.11
Tempest 4120-520Kv ,6.00,520.00,11.00,8.50,22.20,10318.00,37.79,838.90,429.13,5.78,83.10,0.69,2.32
BadAss 4520-470Kv ,6.00,470.00,12.00,10.00,22.20,8771.00,36.85,818.00,440.10,5.60,83.10,0.68,2.57
BadAss 2826-1360 ,3.00,1360.00,9.00,7.00,11.10,12517.00,62.77,696.70,516.72,5.41,83.00,0.78,2.11
BadAss 2826-820Kv ,5.00,820.00,10.00,7.00,18.50,12524.00,50.51,934.50,385.23,5.91,83.00,0.63,2.09
