Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (Kg), Pitch Speed (m/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (Kg)
BadAss 2814-1560Kv  Twin,6.00,1560.00,5.00,4.30,22.20,30111.00,75.26,1671.00,430.88,3.05,54.80,0.18,1.13
Cobra C-2826-EF1  Twin,5.00,1200.00,7.00,7.00,18.50,18465.00,96.62,1787.60,402.77,3.57,54.71,0.20,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,7.00,7.00,18.50,18465.00,96.62,1787.60,402.77,3.57,54.71,0.20,1.24
BadAss 2814-1560Kv  Twin,6.00,1560.00,6.00,4.50,22.20,28709.00,106.70,2368.60,303.98,5.07,54.67,0.21,1.13
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.50,5.00,22.20,25819.00,82.78,1837.80,391.77,3.38,54.62,0.18,1.11
BadAss 2315-1860Kv  Twin,5.00,1860.00,5.00,4.30,18.50,29960.00,89.38,1653.40,435.47,3.03,54.53,0.18,1.08
Tempest 4130-690Kv ,6.00,690.00,11.00,10.00,22.20,12848.00,98.97,2197.10,163.85,4.00,54.40,0.18,1.22
BadAss 2315-880Kv  Twin,6.00,1310.00,6.50,5.00,22.20,25690.00,80.38,1784.40,403.50,3.44,54.36,0.19,1.07
BadAss 4530-550Kv ,6.00,550.00,12.00,12.00,22.20,10701.00,79.49,1764.60,204.01,3.65,54.36,0.21,1.36
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.50,5.00,18.50,25644.00,101.06,1869.60,385.11,3.33,54.27,0.18,1.11
Tempest 2826-1140Kv  Twin,6.00,1140.00,7.00,6.00,22.20,21321.00,107.76,2392.40,300.95,4.64,54.13,0.19,1.22
Tempest 2826-920Kv  Twin,6.00,920.00,7.00,7.00,22.20,18072.00,75.92,1685.40,427.20,3.52,53.55,0.21,1.22
Tempest 4130-690Kv ,5.00,690.00,12.00,12.00,18.50,10543.00,93.85,1736.30,207.34,3.48,53.55,0.20,1.22
Tempest 2820-1170Kv  Twin,5.00,1170.00,7.00,7.00,18.50,18009.00,94.78,1753.40,410.63,3.39,53.37,0.19,1.16
Tempest 3515-950Kv  Twin,6.00,950.00,7.00,7.00,22.20,17986.00,70.68,1569.20,458.83,3.30,53.28,0.21,1.23
Tempest 2820-970Kv  Twin,6.00,970.00,7.00,7.00,22.20,17957.00,76.56,1699.60,423.63,3.40,53.19,0.20,1.16
Tempest 2826-1140Kv  Twin,5.00,1140.00,7.00,7.00,18.50,17898.00,90.74,1678.80,428.88,3.38,53.01,0.20,1.22
BadAss 2820-1080  Twin,6.00,1080.00,7.00,6.00,22.20,20828.00,88.24,1958.80,367.57,4.24,52.88,0.22,1.19
BadAss 2814-1120  Twin,6.00,1120.00,7.00,6.00,22.20,20799.00,95.54,2121.00,339.46,4.38,52.84,0.21,1.13
BadAss 4520-830Kv ,6.00,830.00,10.00,8.00,22.20,15588.00,107.53,2387.20,150.80,4.09,52.79,0.17,1.24
BadAss 2826-1360  Twin,4.00,1360.00,7.00,7.00,14.80,17684.00,103.62,1533.40,469.54,3.30,52.39,0.21,1.26
Tempest 4130-540Kv ,6.00,540.00,12.00,12.00,22.20,10305.00,70.50,1565.00,230.03,3.34,52.34,0.21,1.21
Cobra CP-2814-1050  Twin,6.00,1050.00,7.00,6.00,22.20,20531.00,90.36,2006.00,358.92,4.26,52.16,0.21,1.13
BadAss 4520-660Kv ,6.00,660.00,11.00,10.00,22.20,12328.00,91.92,2040.60,176.42,3.68,52.16,0.18,1.24
BadAss 4520-660Kv ,5.00,660.00,12.00,12.00,18.50,10263.00,84.81,1568.90,229.46,3.35,52.12,0.21,1.24
BadAss 2814-980Kv  Twin,6.00,980.00,7.00,7.00,22.20,17536.00,67.90,1507.20,477.71,3.22,51.94,0.21,1.13
BadAss 3530-890 ,6.00,890.00,9.00,7.00,22.20,17500.00,87.68,1946.50,184.95,4.24,51.85,0.22,1.16
Cobra CP-2814-2000  Twin,4.00,2000.00,6.00,4.50,14.80,27179.00,94.70,1401.60,513.70,3.77,51.76,0.27,1.13
BadAss 2814-1120  Twin,5.00,1120.00,7.00,7.00,18.50,17465.00,83.18,1538.60,467.96,3.26,51.76,0.21,1.13
BadAss 2820-1080  Twin,5.00,1080.00,7.00,7.00,18.50,17465.00,79.22,1465.40,491.33,3.17,51.76,0.22,1.19
Tempest 2826-1470Kv  Twin,4.00,1470.00,7.00,7.00,14.80,17433.00,102.38,1515.20,475.18,3.18,51.67,0.21,1.23
Cobra C-2826-EF1  Twin,6.00,1200.00,6.50,5.00,22.20,24375.00,65.62,1457.00,494.17,3.07,51.58,0.21,1.24
Cobra C-2826-EF1-SS  Twin,6.00,1200.00,6.50,5.00,22.20,24375.00,65.62,1457.00,494.17,3.07,51.58,0.21,1.24
BadAss 2826-1360 ,5.00,1360.00,8.00,6.00,18.50,20263.00,93.54,1730.50,208.03,3.68,51.45,0.21,1.03
BadAss 4530-730Kv ,5.00,730.00,11.00,10.00,18.50,12133.00,103.71,1918.50,187.65,3.55,51.36,0.19,1.37
Tempest 2820-1460Kv  Twin,4.00,1460.00,7.00,7.00,14.80,17310.00,103.82,1536.40,468.63,3.16,51.27,0.21,1.17
BadAss 2820-1350  Twin,4.00,1350.00,7.00,7.00,14.80,17224.00,95.32,1410.60,510.42,3.10,51.05,0.22,1.19
BadAss 4520-830Kv ,4.00,830.00,12.00,12.00,14.80,10042.00,102.29,1513.90,237.80,3.17,51.00,0.21,1.24
BadAss 3530-630Kv ,6.00,630.00,11.00,10.00,22.20,12026.00,85.01,1887.20,190.76,3.51,50.91,0.19,1.17
Tempest 3515-1330Kv  Twin,5.00,1330.00,7.00,6.00,18.50,19946.00,74.18,1372.20,524.70,3.34,50.65,0.24,1.23
BadAss 3530-650Kv ,6.00,570.00,12.00,12.00,22.20,9951.00,65.24,1448.20,248.58,3.20,50.56,0.22,1.15
BadAss 2814-1300  Twin,5.00,1300.00,7.00,6.00,18.50,19878.00,94.20,1742.60,413.18,4.01,50.47,0.23,1.13
Cobra C-2826-EF1  Twin,6.00,1200.00,6.50,6.50,22.20,23791.00,82.38,1829.00,393.66,3.12,50.33,0.17,1.24
Cobra C-2826-EF1-SS  Twin,6.00,1200.00,6.50,6.50,22.20,23791.00,82.38,1829.00,393.66,3.12,50.33,0.17,1.24
Tempest 2820-840Kv  Twin,6.00,840.00,8.00,8.00,22.20,14863.00,87.28,1937.60,371.59,3.93,50.33,0.20,1.16
BadAss 4530-730Kv ,6.00,730.00,10.00,8.00,22.20,14855.00,89.57,1988.40,181.05,3.68,50.29,0.19,1.37
BadAss 3530-630Kv ,5.00,630.00,12.00,12.00,18.50,9877.00,80.92,1496.90,240.50,3.05,50.15,0.20,1.17
BadAss 4520-830Kv ,6.00,830.00,9.00,7.50,22.20,15776.00,95.08,2110.80,170.55,3.14,50.06,0.15,1.24
Tempest 3515-1330Kv  Twin,6.00,1330.00,7.00,5.00,22.20,23543.00,91.08,2022.20,356.05,4.24,49.84,0.21,1.23
Cobra C-4120/14  Twin,6.00,710.00,9.00,9.00,22.20,13071.00,104.74,2325.20,309.65,4.76,49.80,0.20,1.48
BadAss 2814-1560Kv  Twin,6.00,1560.00,6.00,4.00,22.20,29401.00,91.38,2028.80,354.89,3.55,49.80,0.17,1.13
Cobra C-3525/10  Twin,6.00,780.00,9.00,9.00,22.20,13063.00,109.46,2430.20,296.27,4.75,49.75,0.20,1.40
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.00,4.50,22.20,26102.00,77.98,1731.20,415.90,4.21,49.71,0.24,1.11
Tempest 4120-830Kv ,6.00,830.00,9.00,7.00,22.20,16726.00,74.50,1653.80,217.68,3.90,49.57,0.24,1.11
BadAss 4530-730Kv ,4.00,730.00,12.00,12.00,14.80,9750.00,90.19,1334.80,269.70,3.03,49.53,0.23,1.37
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.00,4.50,18.50,25968.00,95.38,1764.60,408.02,4.13,49.48,0.23,1.11
BadAss 2315-1630Kv  Twin,5.00,1630.00,6.00,4.50,18.50,25930.00,93.68,1732.80,415.51,4.18,49.39,0.24,1.08
Tempest 3515-1330Kv  Twin,5.00,1330.00,7.00,6.00,18.50,19429.00,87.02,1610.00,447.20,3.78,49.35,0.23,1.23
BadAss 4530-730Kv ,6.00,730.00,11.00,8.00,22.20,14573.00,109.81,2437.80,147.67,5.62,49.35,0.23,1.37
Cobra CP-2814-1450  Twin,5.00,1450.00,6.00,4.50,18.50,25837.00,94.84,1754.60,410.35,4.29,49.21,0.24,1.13
BadAss 4520-540Kv ,6.00,540.00,12.00,12.00,22.20,9675.00,57.00,1265.40,284.50,3.00,49.13,0.24,1.23
Tempest 2826-920Kv  Twin,5.00,920.00,8.00,8.00,18.50,14424.00,88.98,1646.00,437.42,3.76,48.86,0.23,1.22
BadAss 2315-1860Kv  Twin,5.00,1860.00,6.00,4.00,18.50,28828.00,108.42,2005.80,358.96,3.45,48.81,0.17,1.08
BadAss 3520-650Kv  Twin,6.00,650.00,9.00,9.00,22.20,12818.00,93.40,2073.60,347.22,4.42,48.81,0.21,1.35
BadAss 2315-880Kv  Twin,6.00,1310.00,6.00,4.50,22.20,25529.00,73.50,1631.60,441.28,4.04,48.63,0.25,1.07
BadAss 2826-1030 ,6.00,1030.00,8.00,6.00,22.20,19150.00,61.25,1359.80,264.74,3.35,48.63,0.25,1.01
BadAss 3530-890 ,5.00,890.00,10.00,8.00,18.50,14310.00,89.41,1654.10,217.64,3.54,48.45,0.21,1.16
Cobra C-2826-EF1  Twin,4.00,1200.00,8.00,8.00,14.80,14280.00,104.96,1553.40,463.50,3.56,48.37,0.23,1.24
Cobra C-2826-EF1-SS  Twin,4.00,1200.00,8.00,8.00,14.80,14280.00,104.96,1553.40,463.50,3.56,48.37,0.23,1.24
Tempest 4120-600Kv ,6.00,600.00,11.00,10.00,22.20,11396.00,69.98,1553.50,231.73,3.10,48.23,0.20,1.11
BadAss 3515-710  Twin,6.00,710.00,9.00,9.00,22.20,12640.00,93.20,2069.00,347.99,4.32,48.14,0.21,1.26
Tempest 2820-970Kv  Twin,5.00,970.00,8.00,8.00,18.50,14197.00,87.36,1616.20,445.49,3.55,48.10,0.22,1.16
BadAss 4520-830Kv ,6.00,830.00,9.00,7.00,22.20,16234.00,66.91,1485.40,242.36,3.89,48.10,0.26,1.23
BadAss 2820-780  Twin,6.00,780.00,8.00,8.00,22.20,14190.00,83.50,1853.80,388.39,3.59,48.05,0.19,1.19
Cobra C-2826-EF1  Twin,5.00,1200.00,7.00,6.00,18.50,18909.00,79.56,1471.80,489.20,3.63,48.01,0.25,1.24
Cobra C-2826-EF1-SS  Twin,5.00,1200.00,7.00,6.00,18.50,18909.00,79.56,1471.80,489.20,3.63,48.01,0.25,1.24
Tempest 2826-1470Kv  Twin,5.00,1470.00,7.00,5.00,18.50,22690.00,94.08,1740.20,413.75,4.00,48.01,0.23,1.23
Tempest 3515-950Kv  Twin,5.00,950.00,8.00,8.00,18.50,14135.00,83.90,1552.20,463.86,3.41,47.87,0.22,1.23
BadAss 2814-1950  Twin,4.00,1950.00,6.00,4.50,14.80,25060.00,109.34,1618.40,444.88,4.03,47.74,0.25,1.13
Cobra C-4120/16  Twin,6.00,610.00,10.00,10.00,22.20,11262.00,98.40,2184.60,329.58,4.54,47.65,0.21,1.47
Tempest 2820-1170Kv  Twin,5.00,1170.00,7.00,6.00,18.50,18684.00,79.36,1468.20,490.40,3.55,47.47,0.24,1.16
Tempest 2820-1940Kv  Twin,4.00,1940.00,6.00,4.50,14.80,24930.00,106.82,1581.00,455.41,3.96,47.47,0.25,1.17
BadAss 2814-1560Kv  Twin,5.00,1560.00,6.00,4.50,18.50,24879.00,80.50,1489.00,483.55,3.77,47.38,0.25,1.13
Tempest 2820-1460Kv  Twin,6.00,1460.00,6.00,4.00,22.20,27982.00,79.20,1758.40,409.46,3.77,47.38,0.21,1.17
BadAss 2814-1300  Twin,6.00,1300.00,6.00,4.50,22.20,24793.00,65.06,1444.40,498.48,3.71,47.25,0.26,1.13
Tempest 2826-1470Kv  Twin,6.00,1470.00,6.00,4.00,22.20,27909.00,78.00,1731.60,415.80,3.71,47.25,0.21,1.23
BadAss 2826-820Kv  Twin,5.00,820.00,9.00,9.00,18.50,12390.00,106.64,1972.80,364.96,4.16,47.20,0.21,1.24
Tempest 2820-970Kv  Twin,6.00,970.00,7.00,6.00,22.20,18580.00,63.76,1415.40,508.69,3.50,47.20,0.25,1.16
Tempest 2826-920Kv  Twin,6.00,920.00,7.00,6.00,22.20,18586.00,62.24,1382.00,520.98,3.56,47.20,0.26,1.22
Tempest 2826-1140Kv  Twin,5.00,1140.00,7.00,6.00,18.50,18524.00,75.62,1399.00,514.65,3.48,47.07,0.25,1.22
BadAss 2814-1560Kv  Twin,4.00,1560.00,7.00,6.00,14.80,18521.00,94.66,1400.80,513.99,3.46,47.02,0.25,1.13
BadAss 3530-890 ,4.00,890.00,11.00,10.00,14.80,11111.00,93.56,1384.60,260.00,3.03,47.02,0.22,1.16
BadAss 2315-1090Kv  Twin,6.00,1090.00,7.00,6.00,22.20,18489.00,64.90,1441.00,499.65,3.49,46.98,0.24,0.78
Tempest 2814-2100Kv  Twin,4.00,2100.00,6.00,4.50,14.80,24651.00,101.96,1508.80,477.20,3.69,46.94,0.24,1.11
Cobra C-3525/10  Twin,6.00,780.00,8.00,8.00,22.20,13850.00,81.00,1798.20,400.40,3.38,46.89,0.19,1.40
Tempest 3515-950Kv  Twin,6.00,950.00,7.00,6.00,22.20,18462.00,59.36,1317.80,546.37,3.32,46.89,0.25,1.23
Tempest 4130-690Kv ,6.00,690.00,11.00,8.50,22.20,13028.00,88.22,1958.40,183.82,4.30,46.89,0.22,1.22
BadAss 4520-830Kv ,6.00,830.00,10.00,7.00,22.20,15805.00,96.79,2148.80,167.54,4.11,46.85,0.19,1.24
Cobra C-3525/12  Twin,6.00,650.00,10.00,10.00,22.20,11045.00,92.56,2054.80,350.40,4.23,46.76,0.21,1.40
BadAss 3520-790  Twin,5.00,790.00,9.00,9.00,18.50,12276.00,102.24,1891.20,380.71,4.01,46.76,0.21,1.34
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.00,4.30,22.20,25686.00,85.54,1899.00,379.15,4.19,46.76,0.22,1.11
BadAss 4520-830Kv ,6.00,830.00,10.00,7.00,22.20,15777.00,94.79,2104.40,171.07,5.08,46.76,0.24,1.24
Tempest 2826-1140Kv  Twin,4.00,1140.00,8.00,8.00,14.80,13792.00,97.16,1437.80,500.77,3.39,46.71,0.24,1.22
Tempest 4120-600Kv  Twin,6.00,600.00,9.00,9.00,22.20,12265.00,81.58,1811.20,397.53,3.96,46.71,0.22,1.45
Tempest 2820-1170Kv  Twin,4.00,1170.00,8.00,8.00,14.80,13764.00,99.98,1479.60,486.62,3.37,46.62,0.23,1.16
Cobra CP-2814-1450  Twin,5.00,1450.00,6.00,4.30,18.50,25513.00,104.38,1931.00,372.86,4.31,46.44,0.22,1.13
Cobra C-2826/6  Twin,4.00,1470.00,7.00,6.00,14.80,18260.00,91.34,1351.80,532.62,3.48,46.40,0.26,1.23
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.00,4.30,18.50,25475.00,103.94,1923.00,374.41,4.16,46.35,0.22,1.11
Cobra C-2820/8  Twin,4.00,1450.00,7.00,6.00,14.80,18208.00,90.44,1338.40,537.96,3.43,46.26,0.26,1.17
Cobra C-3520/10  Twin,5.00,980.00,8.00,8.00,18.50,13634.00,96.48,1785.00,403.36,3.24,46.18,0.18,1.31
BadAss 2315-1480Kv  Twin,6.00,1480.00,6.00,4.00,22.20,27280.00,70.86,1573.20,457.67,3.06,46.18,0.19,1.04
BadAss 2826-1360  Twin,4.00,1360.00,7.00,6.00,14.80,18183.00,81.96,1213.00,593.57,3.30,46.18,0.27,1.26
BadAss 2826-690  Twin,6.00,690.00,9.00,9.00,22.20,12122.00,83.36,1850.60,389.06,3.98,46.18,0.22,1.25
BadAss 3530-700 ,6.00,700.00,10.00,8.00,22.20,13634.00,61.18,1358.30,265.04,3.21,46.18,0.24,1.15
Tempest 4120-830Kv ,5.00,830.00,10.00,8.00,18.50,13631.00,80.09,1481.70,242.96,3.06,46.18,0.21,1.12
BadAss 2814-980Kv  Twin,6.00,980.00,7.00,6.00,22.20,18171.00,55.10,1223.00,588.72,3.30,46.13,0.27,1.13
Tempest 4130-690Kv ,6.00,690.00,10.00,8.00,22.20,13619.00,61.65,1368.60,263.04,3.04,46.13,0.22,1.21
BadAss 4520-660Kv  Twin,5.00,660.00,10.00,10.00,18.50,10874.00,103.28,1910.40,376.88,4.04,46.04,0.21,1.68
BadAss 2814-1120  Twin,5.00,1120.00,7.00,6.00,18.50,18114.00,68.42,1265.80,568.81,3.31,46.00,0.26,1.13
BadAss 3530-700 ,6.00,700.00,11.00,8.50,22.20,12777.00,86.58,1922.10,187.30,4.12,45.95,0.21,1.16
BadAss 4520-830Kv ,5.00,830.00,11.00,8.50,18.50,12774.00,106.94,1978.40,181.97,4.04,45.95,0.20,1.24
Cobra C-3525/10  Twin,5.00,780.00,10.00,10.00,18.50,10833.00,107.18,1983.00,363.09,4.14,45.86,0.21,1.40
Cobra CP-2814-1800  Twin,4.00,1800.00,6.00,4.50,14.80,24063.00,65.58,970.60,741.81,3.01,45.82,0.31,1.13
Cobra CP-2814-2000  Twin,4.00,2000.00,6.00,4.00,14.80,27050.00,99.50,1472.40,489.00,3.01,45.82,0.20,1.13
Cobra C-2826-EF1 ,5.00,1200.00,8.00,6.00,18.50,18033.00,60.88,1126.40,319.60,3.11,45.82,0.28,1.01
Cobra C-2826-EF1-SS ,5.00,1200.00,8.00,6.00,18.50,18033.00,60.88,1126.40,319.60,3.11,45.82,0.28,1.01
BadAss 2315-880Kv  Twin,6.00,1310.00,6.00,4.30,22.20,25154.00,80.00,1775.80,405.45,4.03,45.77,0.23,1.07
BadAss 3530-630Kv  Twin,5.00,630.00,10.00,10.00,18.50,10798.00,98.68,1825.60,394.39,3.92,45.73,0.21,1.54
Tempest 2826-1470Kv  Twin,4.00,1470.00,7.00,6.00,14.80,18001.00,84.90,1256.40,573.07,3.26,45.73,0.26,1.23
BadAss 2820-1080  Twin,5.00,1080.00,7.00,6.00,18.50,17994.00,62.70,1159.80,620.80,3.19,45.68,0.28,1.19
BadAss 2820-780  Twin,5.00,780.00,10.00,10.00,18.50,10760.00,107.24,1983.80,362.94,4.06,45.55,0.20,1.19
BadAss 2820-910Kv  Twin,5.00,910.00,8.00,8.00,18.50,13447.00,88.24,1632.40,441.07,3.18,45.55,0.19,1.19
Tempest 2820-1170Kv  Twin,6.00,1170.00,6.00,4.50,22.20,23854.00,58.74,1304.00,552.15,3.52,45.46,0.27,1.16
Tempest 2820-1170Kv  Twin,6.00,1170.00,7.00,5.00,22.20,21478.00,108.02,2398.00,300.25,4.38,45.46,0.18,1.16
Tempest 3515-1330Kv ,5.00,1330.00,8.00,6.00,18.50,17901.00,64.49,1193.00,301.76,3.06,45.46,0.26,1.00
BadAss 2814-1950  Twin,3.00,1950.00,7.00,6.00,11.10,17881.00,109.48,1215.20,592.50,3.25,45.42,0.27,1.13
Tempest 2814-1400Kv  Twin,6.00,1400.00,6.00,4.00,22.20,26812.00,65.36,1450.80,496.28,3.53,45.42,0.24,1.11
Tempest 2826-1140Kv  Twin,6.00,1140.00,7.00,5.00,22.20,21435.00,105.02,2331.40,308.83,4.41,45.37,0.19,1.22
Cobra C-4120/14  Twin,5.00,710.00,10.00,10.00,18.50,10704.00,98.32,1818.80,395.87,4.06,45.33,0.22,1.48
BadAss 2814-1120  Twin,4.00,1120.00,8.00,8.00,14.80,13381.00,87.46,1294.40,556.24,3.16,45.33,0.24,1.13
Tempest 4130-540Kv  Twin,6.00,540.00,11.00,10.00,22.20,10704.00,102.98,2286.20,314.93,5.49,45.33,0.24,1.65
Cobra C-2820/10  Twin,5.00,1170.00,7.00,6.00,18.50,17829.00,65.72,1216.00,592.11,3.31,45.28,0.27,1.18
BadAss 4530-550Kv ,6.00,550.00,12.00,10.00,22.20,10693.00,76.95,1708.30,210.74,3.74,45.28,0.22,1.36
Tempest 2820-1460Kv  Twin,4.00,1460.00,7.00,6.00,14.80,17805.00,86.00,1273.00,565.59,3.23,45.24,0.25,1.17
Cobra CP-2814-1050  Twin,5.00,1050.00,7.00,6.00,18.50,17795.00,63.68,1177.80,611.31,3.21,45.19,0.27,1.13
BadAss 2820-1350  Twin,4.00,1350.00,7.00,6.00,14.80,17800.00,75.86,1122.60,641.37,3.13,45.19,0.28,1.19
Tempest 2814-1700Kv  Twin,5.00,1700.00,6.00,4.00,18.50,26666.00,80.00,1480.00,486.49,3.48,45.15,0.24,1.11
Cobra C-3520/14  Twin,6.00,700.00,9.00,9.00,22.20,11835.00,78.66,1746.40,412.28,3.90,45.10,0.22,1.32
BadAss 2315-1860Kv  Twin,4.00,1860.00,6.00,4.50,14.80,23683.00,89.96,1331.40,540.78,3.48,45.10,0.26,1.08
BadAss 2814-980Kv  Twin,5.00,980.00,8.00,8.00,18.50,13298.00,90.04,1665.80,432.22,3.08,45.01,0.18,1.13
BadAss 4520-660Kv ,6.00,660.00,11.00,8.50,22.20,12513.00,80.86,1795.10,200.55,3.88,45.01,0.22,1.24
Tempest 4130-690Kv ,5.00,690.00,12.00,10.00,18.50,10639.00,88.62,1639.50,219.58,3.66,45.01,0.22,1.22
Tempest 4130-540Kv  Twin,5.00,540.00,12.00,12.00,18.50,8843.00,102.62,1898.60,379.23,4.88,44.92,0.26,1.65
BadAss 2820-910Kv ,6.00,910.00,9.00,7.00,22.20,15150.00,59.51,1321.10,272.50,3.63,44.88,0.27,0.98
Tempest 4130-690Kv ,6.00,690.00,11.00,8.00,22.20,13240.00,78.79,1749.20,205.81,4.81,44.83,0.28,1.21
BadAss 2814-1560Kv  Twin,5.00,1560.00,6.00,4.30,18.50,24597.00,86.88,1607.40,447.93,3.82,44.79,0.24,1.13
BadAss 3520-560  Twin,6.00,560.00,10.00,10.00,22.20,10581.00,77.52,1720.80,418.41,3.80,44.79,0.22,1.35
Cobra C-2826/8  Twin,5.00,1130.00,7.00,6.00,18.50,17615.00,63.14,1168.20,616.33,3.22,44.74,0.28,1.23
Cobra C-3510/16  Twin,5.00,1200.00,7.00,6.00,18.50,17597.00,62.86,1162.80,619.20,3.12,44.70,0.27,1.17
BadAss 3520-970 ,5.00,970.00,9.00,7.00,18.50,15093.00,67.24,1243.90,289.41,3.59,44.70,0.29,1.06
BadAss 3530-700 ,5.00,700.00,13.00,10.00,18.50,10562.00,80.85,1495.70,240.69,4.89,44.70,0.33,1.16
BadAss 3520-650Kv  Twin,5.00,650.00,10.00,10.00,18.50,10550.00,92.26,1706.80,421.84,3.85,44.66,0.23,1.35
BadAss 3530-890 ,5.00,890.00,9.00,7.00,18.50,15076.00,63.85,1181.30,304.75,3.35,44.66,0.28,1.15
BadAss 2826-820Kv  Twin,6.00,820.00,9.00,7.00,22.20,15050.00,109.32,2427.00,296.66,7.01,44.61,0.29,1.24
BadAss 2826-820Kv ,6.00,820.00,9.00,7.00,22.20,15050.00,54.66,1213.50,296.66,3.50,44.61,0.29,1.01
BadAss 2814-1300  Twin,6.00,1300.00,6.00,4.30,22.20,24485.00,71.28,1582.20,455.06,3.75,44.57,0.24,1.13
BadAss 3530-470  Twin,6.00,470.00,12.00,12.00,22.20,8773.00,83.80,1860.20,387.06,4.86,44.57,0.26,1.52
BadAss 4530-730Kv ,6.00,730.00,10.00,7.00,22.20,15040.00,79.41,1763.00,204.20,4.64,44.57,0.26,1.36
Cobra CP-2814-1800  Twin,4.00,1800.00,6.00,4.50,14.80,23373.00,84.62,1252.40,574.90,3.48,44.52,0.28,1.13
BadAss 3530-650Kv  Twin,6.00,570.00,11.00,10.00,22.20,10514.00,96.88,2150.60,334.79,5.32,44.52,0.25,1.53
Cobra C-3515/14  Twin,5.00,950.00,8.00,8.00,18.50,13135.00,81.26,1503.40,478.91,3.05,44.48,0.20,1.25
Cobra C-3525/12  Twin,6.00,650.00,9.00,9.00,22.20,11673.00,71.24,1581.40,455.29,3.74,44.48,0.24,1.40
BadAss 4530-730Kv ,6.00,730.00,10.00,7.00,22.20,15010.00,80.36,1784.00,201.79,3.74,44.48,0.21,1.37
Tempest 4130-690Kv ,6.00,690.00,11.00,8.00,22.20,13132.00,83.31,1849.50,194.65,4.08,44.48,0.22,1.22
BadAss 2814-1120  Twin,6.00,1120.00,7.00,5.00,22.20,20954.00,92.00,2042.40,352.53,4.11,44.34,0.20,1.13
BadAss 3520-790  Twin,6.00,790.00,9.00,7.00,22.20,14966.00,101.20,2246.80,320.46,6.52,44.34,0.29,1.34
Tempest 4120-700Kv  Twin,5.00,700.00,9.00,9.00,18.50,11634.00,81.80,1513.20,475.81,3.53,44.34,0.23,1.45
BadAss 3520-790 ,6.00,790.00,9.00,7.00,22.20,14966.00,50.60,1123.40,320.46,3.26,44.34,0.29,1.06
Cobra C-2826/12  Twin,6.00,760.00,8.00,8.00,22.20,13081.00,67.60,1500.60,479.81,3.11,44.30,0.21,1.23
BadAss 3515-580Kv  Twin,6.00,580.00,10.00,10.00,22.20,10469.00,76.84,1706.00,422.04,3.78,44.30,0.22,1.27
BadAss 2820-1080  Twin,6.00,1080.00,7.00,5.00,22.20,20906.00,86.16,1912.60,376.45,4.05,44.25,0.21,1.19
Tempest 2826-920Kv  Twin,6.00,920.00,8.00,6.00,22.20,17423.00,92.72,2058.40,349.79,5.89,44.25,0.29,1.22
BadAss 3530-700 ,5.00,700.00,12.00,10.00,18.50,10453.00,85.66,1584.70,227.17,3.56,44.25,0.22,1.16
BadAss 3530-700 ,6.00,700.00,11.00,8.00,22.20,13065.00,78.02,1732.10,207.84,4.71,44.25,0.27,1.15
BadAss 3530-630Kv ,6.00,630.00,11.00,8.50,22.20,12293.00,75.30,1671.50,215.38,3.73,44.21,0.22,1.16
Cobra C-2826/10  Twin,5.00,930.00,8.00,8.00,18.50,13038.00,80.90,1496.80,481.03,3.10,44.16,0.21,1.23
BadAss 4530-730Kv ,5.00,730.00,11.00,8.50,18.50,12269.00,91.89,1699.90,211.78,3.70,44.16,0.22,1.37
BadAss 2820-1820  Twin,3.00,1820.00,7.00,6.00,11.10,17369.00,98.26,1090.60,660.19,3.10,44.12,0.28,1.19
BadAss 2820-780  Twin,5.00,780.00,9.00,9.00,18.50,11565.00,84.62,1565.60,459.89,3.69,44.07,0.24,1.19
BadAss 4530-550Kv ,6.00,550.00,14.00,10.00,22.20,10407.00,98.28,2181.80,165.00,5.70,44.07,0.26,1.37
Cobra C-3515/14  Twin,6.00,950.00,7.00,6.00,22.20,17335.00,48.88,1085.20,663.47,3.08,44.03,0.28,1.25
Cobra C-3520/12  Twin,5.00,820.00,9.00,9.00,18.50,11549.00,87.32,1615.20,445.77,3.72,43.98,0.23,1.32
Tempest 2826-1140Kv  Twin,5.00,1140.00,8.00,6.00,18.50,17324.00,109.90,2033.20,354.12,5.85,43.98,0.29,1.22
Tempest 4120-700Kv ,6.00,700.00,11.00,8.00,22.20,12985.00,75.33,1672.30,215.27,4.66,43.98,0.28,1.11
BadAss 3515-710  Twin,5.00,710.00,10.00,10.00,18.50,10380.00,90.06,1666.20,432.12,3.69,43.94,0.22,1.26
