Motor, Cells, kV, Propeller Diameter (inches), Propeller Pitch (inches), Voltage (V), RPMs, Current (A), Power Consumption (W), Wh Flight time (Seconds), Thrust (lbs), Pitch Speed (ft/s), Efficiency = ((thrust/watt)*100), Estimated System Weight (lbs)
Tempest 4120-700Kv ,5.00,700.00,11.00,7.00,18.50,11368.00,102.16,1890.00,380.95,13.93,75.40,0.74,2.93
BadAss 3520-790 ,5.00,790.00,10.00,7.00,18.50,12297.00,100.52,1859.60,387.18,13.93,81.50,0.75,2.70
Cobra C-3525/10 ,6.00,780.00,10.00,5.00,22.20,14104.00,75.02,1665.60,432.28,13.93,66.80,0.84,2.81
Cobra C-4120/18 ,4.00,540.00,14.00,9.00,14.80,6371.00,81.56,1207.00,596.52,13.93,54.30,1.15,2.98
BadAss 2826-690 ,4.00,690.00,14.00,10.00,14.80,7535.00,102.54,1517.60,474.43,13.93,71.40,0.92,2.49
Cobra C-4120/16 ,6.00,610.00,11.00,8.00,22.20,11266.00,98.48,2186.20,329.34,13.91,85.30,0.64,2.98
BadAss 3530-470 ,6.00,470.00,13.00,7.00,22.20,9283.00,58.04,1288.40,558.83,13.90,61.50,1.08,3.08
Tempest 4130-690Kv ,5.00,690.00,11.00,7.00,18.50,11468.00,100.24,1854.40,388.27,13.90,76.00,0.75,3.39
BadAss 3520-650Kv ,5.00,650.00,11.00,8.00,18.50,10556.00,91.70,1696.40,424.43,13.89,80.00,0.82,2.71
Cobra C-4120/20 ,6.00,480.00,13.00,8.00,22.20,8542.00,68.80,1527.20,471.45,13.88,64.70,0.91,2.98
Cobra C-3525/12 ,4.00,650.00,15.00,8.00,14.80,7193.00,85.68,1268.00,567.82,13.87,54.50,1.09,2.81
Tempest 4130-460Kv ,5.00,460.00,13.00,8.00,18.50,7894.00,73.18,1353.80,531.84,13.86,59.80,1.02,3.38
Tempest 4130-460Kv ,6.00,460.00,16.00,7.00,22.20,8700.00,72.10,1600.60,224.92,13.86,57.70,0.87,2.54
BadAss 3520-560 ,6.00,560.00,11.00,8.00,22.20,10554.00,77.54,1721.60,418.22,13.85,80.00,0.80,2.71
Cobra C-4130/14 ,6.00,450.00,13.00,6.50,22.20,8583.00,60.22,1336.80,538.60,13.83,52.80,1.03,3.46
Cobra C-3525/14 ,5.00,560.00,14.00,7.00,18.50,7752.00,76.02,1406.20,512.02,13.83,51.40,0.98,2.81
Cobra C-5330/18 ,6.00,250.00,17.00,12.00,22.20,4991.00,57.76,1282.10,561.58,13.82,56.70,1.08,4.56
Cobra C-4130/14 ,6.00,450.00,13.00,8.00,22.20,8577.00,67.54,1499.40,480.19,13.82,65.00,0.92,3.46
Cobra C-4120/14 ,4.00,710.00,13.00,6.50,14.80,8592.00,94.98,1405.60,512.24,13.82,52.90,0.98,2.99
Cobra C-3520/14 ,6.00,700.00,10.00,7.00,22.20,11893.00,78.50,1742.80,413.13,13.81,78.80,0.79,2.65
BadAss 3515-580Kv ,6.00,580.00,11.00,7.00,22.20,10678.00,68.94,1530.40,470.47,13.81,70.80,0.90,2.54
BadAss 3530-650Kv ,6.00,570.00,11.00,7.00,22.20,10908.00,72.22,1603.20,449.10,13.80,72.30,0.86,3.11
BadAss 3530-470 ,4.00,470.00,16.00,10.00,14.80,5753.00,83.20,1231.40,584.70,13.80,54.50,1.12,3.08
BadAss 2826-690 ,5.00,690.00,12.00,8.50,18.50,10272.00,85.72,1585.80,454.03,13.80,82.70,0.87,2.49
BadAss 4520-370Kv ,5.00,370.00,16.00,10.00,18.50,5716.00,62.18,1150.20,625.98,13.80,54.10,1.20,3.46
BadAss 4520-660Kv ,5.00,660.00,15.00,7.00,18.50,10024.00,98.41,1820.60,197.74,13.79,66.40,0.76,2.57
